ROW_NUMBER,MISSION_NUMBER,OP_ORDER,UNIT,MISSION_DATE,AIRCRAFT_TYPE_MDS,NBR_ATTACK_EFFEC_AIRCRAFT,SORTIE_DUPE,NBR_ABORT_AIRCRAFT,NBR_LOST_AIRCRAFT,TARGET_NAME,TGT_TYPE,SOURCE_UTM_JAPAN_B,SOURCE_TGT_UTM,TGT_MGRS,TGT_LATITUDE_WGS84,TGT_LONGITUDE_WGS84,SOURCE_TGT_LAT,SOURCE_TGT_LONG,NBR_OF_WEAPONS,WEAPONS_TYPE,BOMB_SIGHTING_METHOD,TOTAL_BOMBLOAD_IN_LBS,TOT,MISSION_TYPE,ALTITUDE_FT,CALLSIGN,BDA,NOSE_FUZE,TAIL_FUZE,CALCULATED_BOMBLOAD_LBS,RECORD_SOURCE
"
1354",507,257-51,98th Bomb Wing,8/11/51,B-29,1,1,,,,Highway bridge,,CT 1930,52SCH1930,38.19977N, 126.93292E,,,19,500 GP,Radar,,111106K,Close support,17500,,,0.01,0.01,9500,EXETER
"
1355",507,257-51,307th Bomb Wing,8/11/51,B-29,1,,,,Haeju,Supply center,,YC 3813,51SYC3813,38.03347N, 125.71178E,,,20,500 GP,Radar,,111220K,Close support,18700,,,Instantaneous,Non-delay,10000,EXETER
"
1356",507,257-51,307th Bomb Wing,8/11/51,B-29,1,1,,,Haeju,Supply center,,YC 3813,51SYC3813,38.03347N, 125.71178E,,,20,500 GP,Radar,,111220K,Close support,18700,,,0.1,0.1,10000,EXETER
"
1357",507,257-51,19th Bomb Group,8/11/51,B-29,14,1,,,Hungnam,Marshalling yard,,CV 8410,52SCK8410,39.83209N, 127.64438E,,,22,500 GP,Radar,,,Interdiction,18500 - 25500,,,VD 1 - 144 hours,,11000,EXETER
"
1358",507,257-51,19th Bomb Group,8/11/51,B-29,14,1,,,Hungnam,Marshalling yard,,CV 8410,52SCK8410,39.83209N, 127.64438E,,,206,500 GP,Radar,,,Interdiction,18500 - 25500,,,0.01,0.01,103000,EXETER
"
1359",508,258-51,307th Bomb Wing,8/12/51,B-29,1,1,,,Chinnampo,Supply center,,YC 0989,51SYC0989,38.72496N, 125.40419E,,,4,500 GP,Radar,,,Interdiction,18000,,,,,2000,EXETER
"
1360",508,258-51,307th Bomb Wing,8/12/51,B-29,1,1,,,Hamhung,Supply center,,CV 7416,52SCK7416,39.88471N, 127.52640E,,,7,500 GP,Shoran radar and visual,,,Interdiction,17000 - 19200,,Bomb pattern walked across the river a short distance east of the town,VD 1 - 144 hours,,3500,EXETER
"
1361",508,258-51,307th Bomb Wing,8/12/51,B-29,3,1,,,Sariwon,Marshalling yard,,YC 4265,51SYC4265,38.50051N, 125.77507E,,,9,500 GP,Visual,,,Interdiction,18000,,Crews claimed the bomb pattern hit about 50 percent on either side of the briefed MPI. 1 building was reported destroyed and a large secondary explosion was observed.,VD 1 - 144 hours,,4500,EXETER
"
1362",508,258-51,307th Bomb Wing,8/12/51,B-29,1,,,,,Ammunition dump,,DT 1873,52SDH1873,38.60171N, 128.05829E,,,20,500 GP,Radar,,,Close support,17850,,Excellent results.,0.01,Non-delay,10000,EXETER
"
1363",508,258-51,307th Bomb Wing,8/12/51,B-29,1,1,,,,Ammunition dump,,DT 1873,52SDH1873,38.60171N, 128.05829E,,,20,500 GP,Radar,,,Close support,17850,,Excellent results.,0.01,0.01,10000,EXETER
"
1364",508,258-51,19th Bomb Group,8/12/51,B-29,1,,,,,Ammunition dump,,DT 1873,52SDH1873,38.60171N, 128.05829E,,,20,500 GP,Radar,,121225K,Close support,17000,,Excellent results.,0.1,Non-delay,10000,EXETER
"
1365",508,258-51,19th Bomb Group,8/12/51,B-29,1,1,,,,Ammunition dump,,DT 1873,52SDH1873,38.60171N, 128.05829E,,,20,500 GP,Radar,,121225K,Close support,17000,,Excellent results.,0.01,0.01,10000,EXETER
"
1366",508,258-51,98th Bomb Wing,8/12/51,B-29,1,,,,Hamhung,Supply center,,CV 7416,52SCK7416,39.88471N, 127.52640E,,,20,500 GP,Visual,,121225K,Interdiction,16900,,Good results. Bombs walked through the center of the target.,0.01,0.025,10000,EXETER
"
1367",508,258-51,307th Bomb Wing,8/12/51,B-29,10,1,,,Sariwon,Marshalling yard,,YC 4265,51SYC4265,38.50051N, 125.77507E,,,34,500 GP,Visual,,,Interdiction,18000 - 19500,,Crews claimed the bomb pattern hit about 50 percent on either side of the briefed MPI. 1 building was reported destroyed and a large secondary explosion was observed.,VD 1 - 144 hours,,17000,EXETER
"
1368",508,258-51,307th Bomb Wing,8/12/51,B-29,1,,,,Hamhung,Supply center,,CV 7416,52SCK7416,39.88471N, 127.52640E,,,65,500 GP,Shoran radar and visual,,,Interdiction,17000 - 19200,,Bomb pattern walked across the river a short distance east of the town,0.01,0.01,32500,EXETER
"
1369",508,258-51,307th Bomb Wing,8/12/51,B-29,3,,,,Sariwon,Marshalling yard,,YC 4265,51SYC4265,38.50051N, 125.77507E,,,84,500 GP,Visual,,,Interdiction,18000,,Crews claimed the bomb pattern hit about 50 percent on either side of the briefed MPI. 1 building was reported destroyed and a large secondary explosion was observed.,0.1,0.1,42000,EXETER
"
1370",508,258-51,307th Bomb Wing,8/12/51,B-29,10,,,,Sariwon,Marshalling yard,,YC 4265,51SYC4265,38.50051N, 125.77507E,,,303,500 GP,Visual,,,Interdiction,18000 - 19500,,Crews claimed the bomb pattern hit about 50 percent on either side of the briefed MPI. 1 building was reported destroyed and a large secondary explosion was observed.,0.01,0.01,151500,EXETER
"
1371",508,258-51,98th Bomb Wing,8/12/51,B-29,1,1,,,,Ammunition dump,,DT 1873,52SDH1873,38.60171N, 128.05829E,,,18,500 GP M-23 A bombs,Radar,,121110K,Close support,18000,,Excellent results.,0.01,0.01,9000,EXETER
"
1372",508,258-51,98th Bomb Wing,8/12/51,B-29,1,,,,,Ammunition dump,,DT 1873,52SDH1873,38.60171N, 128.05829E,,,19,500 GP M-23 A bombs,Radar,,121110K,Close support,18000,,Excellent results.,0.1,Non-delay,9500,EXETER
"
1373",509,260-51,98th Bomb Wing,8/13/51,B-29,1,1,,,,Highway bridge,,CT 1068,52SCH1068,38.54014N, 126.81996E,,,1,500 GP,Shoran radar,,130940K,Interdiction,17000,,,0.01,0.025,500,EXETER
"
1374",509,260-51,98th Bomb Wing,8/13/51,B-29,1,1,,,,Highway bridge,,CT 1068,52SCH1068,38.54014N, 126.81996E,,,1,500 GP,Shoran radar,,130940K,Interdiction,17000,,,0.01,0.025,500,EXETER
"
1375",509,260-51,98th Bomb Wing,8/13/51,B-29,1,1,,,,Highway bridge,,CT 1068,52SCH1068,38.54014N, 126.81996E,,,1,500 GP,Shoran radar,,130940K,Interdiction,17000,,,0.01,0.025,500,EXETER
"
1376",509,260-51,98th Bomb Wing,8/13/51,B-29,1,1,,,,Highway bridge,,CT 1068,52SCH1068,38.54014N, 126.81996E,,,1,500 GP,Shoran radar,,130940K,Interdiction,17000,,,0.01,0.025,500,EXETER
"
1377",509,260-51,98th Bomb Wing,8/13/51,B-29,1,1,,,,Highway bridge,,CT 1068,52SCH1068,38.54014N, 126.81996E,,,1,500 GP,Shoran radar,,130940K,Interdiction,17000,,,0.01,0.025,500,EXETER
"
1378",509,260-51,98th Bomb Wing,8/13/51,B-29,1,1,,,,Highway bridge,,CT 1068,52SCH1068,38.54014N, 126.81996E,,,1,500 GP,Shoran radar,,130940K,Interdiction,17000,,,0.01,0.025,500,EXETER
"
1379",509,260-51,98th Bomb Wing,8/13/51,B-29,1,1,,,,Highway bridge,,CT 1068,52SCH1068,38.54014N, 126.81996E,,,1,500 GP,Shoran radar,,130940K,Interdiction,17000,,,0.01,0.025,500,EXETER
"
1380",509,260-51,98th Bomb Wing,8/13/51,B-29,1,1,,,,Highway bridge,,CT 1068,52SCH1068,38.54014N, 126.81996E,,,1,500 GP,Shoran radar,,130940K,Interdiction,17000,,,0.01,0.025,500,EXETER
"
1381",509,260-51,98th Bomb Wing,8/13/51,B-29,1,1,,,,Highway bridge,,CT 1068,52SCH1068,38.54014N, 126.81996E,,,1,500 GP,Shoran radar,,130940K,Interdiction,17000,,,0.01,0.025,500,EXETER
"
1382",509,260-51,98th Bomb Wing,8/13/51,B-29,1,,,,,Highway bridge,,CT 1068,52SCH1068,38.54014N, 126.81996E,,,10,500 GP,Shoran radar,,130940K,Interdiction,17000,,,0.01,0.025,5000,EXETER
"
1383",509,260-51,98th Bomb Wing,8/13/51,B-29,1,,,,Kumsong,,,CT 8362,52SCH8362,38.49868N, 127.65828E,,,19,500 GP,Radar,,131308K,Close support,18500,,,Instantaneous,Non-delay,9500,EXETER
"
1384",509,260-51,98th Bomb Wing,8/13/51,B-29,1,1,,,Kumsong,,,CT 8362,52SCH8362,38.49868N, 127.65828E,,,19,500 GP,Radar,,131308K,Close support,18500,,,0.01,0.01,9500,EXETER
"
1385",509,260-51,307th Bomb Wing,8/13/51,B-29,1,,,,,Ammunition dump,,CT 8461,52SCH8461,38.48980N, 127.66991E,,,20,500 GP,Radar,,131224K,Close support,17500,,,Instantaneous,Non-delay,10000,EXETER
"
1386",509,260-51,307th Bomb Wing,8/13/51,B-29,1,1,,,,Ammunition dump,,CT 8461,52SCH8461,38.48980N, 127.66991E,,,20,500 GP,Radar,,131224K,Close support,17500,,,0.1,0.1,10000,EXETER
"
1387",509,260-51,19th Bomb Group,8/13/51,B-29,1,,,,,Mine shaft,,CT 8463,52SCH8463,38.50782N, 127.66958E,,,40,500 GP,Radar,,131048K,Close support,17500,,,0.01,Non-delay,20000,EXETER
"
1388",510,259-51,307th Bomb Wing,8/14/51,B-29,1,,,,Chinnampo,Marshalling yard,,YC 0989,51SYC0989,38.72496N, 125.40419E,,,5,500 GP,Visual,,141235K,,16000,,,,,2500,EXETER
"
1389",510,259-51,98th Bomb Wing,8/14/51,B-29,1,1,,,,Salvoed,,,,,,3432N,13759E,14,500 GP,,,,,,,2 aircraft forced to abort shortly after take-off due to engine failures. Bomb loads were salvoed in water.,0.01,0.01,7000,EXETER
"
1390",510,259-51,98th Bomb Wing,8/14/51,B-29,1,1,,,,Salvoed,,,,,,3427N,13801E,14,500 GP,,,,,,,2 aircraft forced to abort shortly after take-off due to engine failures. Bomb loads were salvoed in water.,Instantaneous,Non-delay,7000,EXETER
"
1391",510,259-51,98th Bomb Wing,8/14/51,B-29,1,1,,,,Salvoed,,,,,,3427N,13801E,14,500 GP,,,,,,,2 aircraft forced to abort shortly after take-off due to engine failures. Bomb loads were salvoed in water.,0.01,0.01,7000,EXETER
"
1392",510,259-51,98th Bomb Wing,8/14/51,B-29,1,1,,,,Salvoed,,,,,,3432N,13759E,15,500 GP,,,,,,,2 aircraft forced to abort shortly after take-off due to engine failures. Bomb loads were salvoed in water.,Instantaneous,Non-delay,7500,EXETER
"
1393",510,259-51,98th Bomb Wing,8/14/51,B-29,1,1,,,Wonsan,Supply center,,CU 6635,52SCJ6635,39.15390N, 127.44918E,,,16,500 GP,Visual,,,,12555,,Excellent results. Bombs walked through the target causing sever damage. Secondary explosions were observed.,Instantaneous,Non-delay,8000,EXETER
"
1394",510,259-51,98th Bomb Wing,8/14/51,B-29,1,1,,,Wonsan,Supply center,,CU 6635,52SCJ6635,39.15390N, 127.44918E,,,16,500 GP,Visual,,,,12555,,Excellent results. Bombs walked through the target causing sever damage. Secondary explosions were observed.,0.01,0.01,8000,EXETER
"
1395",510,259-51,19th Bomb Group,8/14/51,B-29,1,1,,,,Jettisoned,,,,,,2932N,12639E,32,500 GP,,,,,,,1 aircraft developed internal failure of the number 2 engine and loss of power in number 3 engine forcing them to abort and jettison their bomb load.,,,16000,EXETER
"
1396",510,259-51,307th Bomb Wing,8/14/51,B-29,2,,,,Kyomipo,Supply center,,YC 2891,51SYC2891,38.73827N, 125.62321E,,,36,500 GP,Radar and visual,,141201K,,19500 - 19000,,Excellent results. Bomb pattern hit slightly southeast of the briefed MPI and walked through the target area.,0.01,0.01,18000,EXETER
"
1397",510,259-51,307th Bomb Wing,8/14/51,B-29,2,1,,,Kyomipo,Supply center,,YC 2891,51SYC2891,38.73827N, 125.62321E,,,36,500 GP,Radar and visual,,141201K,,19500 - 19000,,Excellent results. Bomb pattern hit slightly southeast of the briefed MPI and walked through the target area.,0.01,Non-delay,18000,EXETER
"
1398",510,259-51,19th Bomb Group,8/14/51,B-29,24,1,,,Pyongyang,Supply center,,YD 3722,51SYD3722,39.01494N, 125.73734E,,,154,500 GP,Visual,,,Maximum Effort Attack on Pyongyang,18500 - 19000,,Good to excellent resutls. Bomb pattern of Able flight began 500 ft west of the briefed MPI and progressed northeast. Bomb pattern of Baker flight began 590 ft from the end of the briefed MPI and progressed 1075 ft northward. Other impacts were located on or near the west approach to the highway bridge and on the Island.,VD 1 - 144 hours,,77000,EXETER
"
1399",510,259-51,19th Bomb Group,8/14/51,B-29,24,1,,,Pyongyang,Supply center,,YD 3722,51SYD3722,39.01494N, 125.73734E,,,192,500 GP,Visual,,,Maximum Effort Attack on Pyongyang,18500 - 19000,,Good to excellent resutls. Bomb pattern of Able flight began 500 ft west of the briefed MPI and progressed northeast. Bomb pattern of Baker flight began 590 ft from the end of the briefed MPI and progressed 1075 ft northward. Other impacts were located on or near the west approach to the highway bridge and on the Island.,0.01,0.01,96000,EXETER
"
1400",510,259-51,19th Bomb Group,8/14/51,B-29,24,1,,,Pyongyang,Supply center,,YD 3722,51SYD3722,39.01494N, 125.73734E,,,192,500 GP,Visual,,,Maximum Effort Attack on Pyongyang,18500 - 19000,,Good to excellent resutls. Bomb pattern of Able flight began 500 ft west of the briefed MPI and progressed northeast. Bomb pattern of Baker flight began 590 ft from the end of the briefed MPI and progressed 1075 ft northward. Other impacts were located on or near the west approach to the highway bridge and on the Island.,0.01,Non-delay,96000,EXETER
"
1401",510,259-51,98th Bomb Wing,8/14/51,B-29,25,,3,,Pyongyang,Supply center,,YD 3722,51SYD3722,39.01494N, 125.73734E,,,348,500 GP,Shoran radar and visual,,,Maximum Effort Attack on Pyongyang,19000 - 20500,,Good results. Bomb pattern started short and walked through and slightly to the right of the desired MPI. Large secondary explosions were observed. 2 aircraft forced to abort shortly after take-off due to engine failures. Bomb loads were salvoed in water. 1 aircraft devloped an internal engine failure and diverted to attack last resort target.,Instantaneous,Non-delay,174000,EXETER
"
1402",510,259-51,98th Bomb Wing,8/14/51,B-29,22,1,,,Pyongyang,Supply center,,YD 3722,51SYD3722,39.01494N, 125.73734E,,,348,500 GP,Shoran radar and visual,,,Maximum Effort Attack on Pyongyang,19000 - 20500,,Good results. Bomb pattern started short and walked through and slightly to the right of the desired MPI. Large secondary explosions were observed. ,0.01,0.01,174000,EXETER
"
1403",510,259-51,307th Bomb Wing,8/14/51,B-29,22,1,,,Pyongyang,Supply center,,YD 3722,51SYD3722,39.01494N, 125.73734E,,,369,500 GP,Shoran radar,,141230K,Maximum Effort Attack on Pyongyang,19000 - 20000,,Excellent results. Bomb pattern hit slightly southeast of the briefed MPI and walked through the target area.,0.01,Non-delay,184500,EXETER
"
1404",510,259-51,307th Bomb Wing,8/14/51,B-29,22,,,,Pyongyang,Supply center,,YD 3722,51SYD3722,39.01494N, 125.73734E,,,370,500 GP,Shoran radar,,141230K,Maximum Effort Attack on Pyongyang,19000 - 20000,,Excellent results. Bomb pattern hit slightly southeast of the briefed MPI and walked through the target area.,0.01,0.01,185000,EXETER
"
1405",510,259-51,19th Bomb Group,8/14/51,B-29,25,,1,,Pyongyang,Supply center,,YD 3722,51SYD3722,39.01494N, 125.73734E,,,614,500 GP,Visual,,,Maximum Effort Attack on Pyongyang,18500 - 19000,,Good to excellent resutls. Bomb pattern of Able flight began 500 ft west of the briefed MPI and progressed northeast. Bomb pattern of Baker flight began 590 ft from the end of the briefed MPI and progressed 1075 ft northward. Other impacts were located on or near the west approach to the highway bridge and on the Island. 1 aircraft developed internal failure of the number 2 engine and loss of power in number 3 engine forcing them to abort and jettison their bomb load.,0.01,0.01,307000,EXETER
"
1406",510,259-51,91st Strategic Recon Sq,8/14/51,,1,,,,"""Mission 14-P-1 accomplished photographic coverage of BCA-10-8-4, BCA-11-8-5, BCS-14-7-30 and BCS-28-7-3. Used K-28 type camera.""",,,,,,,,,,,,,,Recon,20000,,,,,,EXETER
"
1407",510,259-51,91st Strategic Recon Sq,8/14/51,,1,,,,"""Mission 14-P-2 accomplished photographic coverage of BCA-9-8-3, BCA-10-8-5, BCA-10-8-6, BCA-10-8-7, BCA-11-8-3, BCS-14-7-16 plus a radar scope run on Hungnam CV 8410. Used K-38 and O-15 type cameras.""",,,,,,,,,,,,,,Recon,20000,,,,,,EXETER
"
1408",510,259-51,91st Strategic Recon Sq,8/14/51,,1,,,,Mission 14-P-3 accomplished a visual reconnaissance mission plus a radar scope run on Pyongyang YD 3722. Used O-15 type camera.,,,,,,,,,,,,,,Recon,18000,,,,,,EXETER
"
1409",512,263-51,98th Bomb Wing,8/16/51,B-29,2,1,,,Kunu-ri,Marshalling yard,,YD 4898,51SYD4898,39.69585N, 125.89233E,,,8,500 GP,Shoran radar,,,Interdiction,21000,,,VD 1 - 144 hours,,4000,EXETER
"
1410",512,263-51,98th Bomb Wing,8/16/51,B-29,2,,,,,Unknown target,,CT 0844,52SCH0844,38.32357N, 126.80358E,,,35,500 GP,Radar,,,Close support,17500 - 18500,,,Instantaneous,Non-delay,17500,EXETER
"
1411",512,263-51,98th Bomb Wing,8/16/51,B-29,2,1,,,,Unknown target,,CT 0844,52SCH0844,38.32357N, 126.80358E,,,35,500 GP,Radar,,,Close support,17500 - 18500,,,0.1,0.1,17500,EXETER
"
1412",512,263-51,98th Bomb Wing,8/16/51,B-29,2,,,,Kunu-ri,Marshalling yard,,YD 4898,51SYD4898,39.69585N, 125.89233E,,,68,500 GP,Shoran radar,,,Interdiction,21000,,,0.01,0.01,34000,EXETER
"
1413",512,263-51,98th Bomb Wing,8/16/51,B-29,3,,,,,Troop concentration,,DT 3644 to DT 3650,,,,,,118,500 GP,Radar,,,Close support,17500 - 18500,,,VT,Non-delay,59000,EXETER
"
1414",512,263-51,98th Bomb Wing,8/16/51,B-29,1,,,,Wonsan,Supply center,,CU 6936,52SCJ6936,39.16336N, 127.48370E,,,Unknown,500 GP,Radar,,,Interdiction,11000,,Developed mechanical trouble and was diverted to this target. The supply center was missed as the bombs hit in the water approximately 500 ft off shore.,0.01,0.01,,EXETER
"
1415",512,263-51,98th Bomb Wing,8/16/51,B-29,1,1,,,Wonsan,Supply center,,CU 6936,52SCJ6936,39.16336N, 127.48370E,,,Unknown,500 GP,Radar,,,Interdiction,11000,,Developed mechanical trouble and was diverted to this target. The supply center was missed as the bombs hit in the water approximately 500 ft off shore.,VD 1 - 144 hours,,,EXETER
"
1416",513,264-51,19th Bomb Group,8/17/51,B-29,1,,,,Samdong-ni,Marshalling yard,,BU 6358,52SBJ6358,39.33897N, 126.25006E,,,144,100 GP,Shoran radar,,173209K,Interdiction,18400,,,,4-5 second delay,14400,EXETER
"
1417",513,264-51,19th Bomb Group,8/17/51,B-29,1,,,,,Troop concentration,,DT 3644,52SDH3644,38.34186N, 128.26764E,,,20,500 GP,Radar,,172235K,Close support,18000,,Good results.,Instantaneous,Non-delay,10000,EXETER
"
1418",513,264-51,19th Bomb Group,8/17/51,B-29,1,1,,,,Troop concentration,,DT 3644,52SDH3644,38.34186N, 128.26764E,,,20,500 GP,Radar,,172235K,Close support,18000,,Good results.,0.1,0.1,10000,EXETER
"
1419",513,264-51,91st Strategic Recon Sq,8/17/51,,1,,,,"""Acomplished visual, photo and radar reconnaissance of Route Yoke West of the special mission. Aircraft employed K-38, K-22, and O-15 type cameras.""",,,,,,,,,,,,,,Recon,4500 - 8000,,Fair results.,,,,EXETER
"
1420",515,266-51,98th Bomb Wing,8/19/51,B-29,1,1,,,Kowon,Marshalling yard,,CU 4865,52SCJ4865,39.42114N, 127.23418E,,,1,500 GP,Shoran radar,,,Interdiction,21000,,,VD 1 - 144 hours,,500,EXETER
"
1421",515,266-51,98th Bomb Wing,8/19/51,B-29,1,1,,,Kowon,Marshalling yard,,CU 4865,52SCJ4865,39.42114N, 127.23418E,,,3,500 GP,Shoran radar,,,Interdiction,21000,,,0.01,0.01,1500,EXETER
"
1422",515,266-51,98th Bomb Wing,8/19/51,B-29,3,1,,,,Troop concentration,,CT 7857,52SCH7857,38.45296N, 127.60182E,,,6,500 GP,Radar,,,Close support,17500 - 18500,,,VT,Non-delay,3000,EXETER
"
1423",515,266-51,98th Bomb Wing,8/19/51,B-29,3,1,,,,Troop concentration,,CT 7957,52SCH7957,38.45310N, 127.61328E,,,6,500 GP,Radar,,,Close support,17500 - 18500,,,VT,Non-delay,3000,EXETER
"
1424",515,266-51,98th Bomb Wing,8/19/51,B-29,3,1,,,,Troop concentration,,DT 1437 to DT 1439,,,,,,12,500 GP,Radar,,,Close support,17500 - 18500,,,VT,Non-delay,6000,EXETER
"
1425",515,266-51,98th Bomb Wing,8/19/51,B-29,3,1,,,,Troop concentration,,CT 7957,52SCH7957,38.45310N, 127.61328E,,,13,500 GP,Radar,,,Close support,17500 - 18500,,,VT,0.01,6500,EXETER
"
1426",515,266-51,98th Bomb Wing,8/19/51,B-29,3,1,,,,Troop concentration,,DT 1437,52SDH1437,38.27694N, 128.01677E,,,13,500 GP,Radar,,,Close support,17500 - 18500,,,VT,Non-delay,6500,EXETER
"
1427",515,266-51,98th Bomb Wing,8/19/51,B-29,3,,,,,Troop concentration,,CT 7857,52SCH7857,38.45296N, 127.60182E,,,14,500 GP,Radar,,,Close support,17500 - 18500,,,VT,0.01,7000,EXETER
"
1428",515,266-51,98th Bomb Wing,8/19/51,B-29,2,1,,,,Unknown target,,CT 8295,52SCH8295,38.79586N, 127.64121E,,,18,500 GP,Radar,,,Close support,18500,,,0.01,0.01,9000,EXETER
"
1429",515,266-51,98th Bomb Wing,8/19/51,B-29,2,,,,,Unknown target,,CT 8295,52SCH8295,38.79586N, 127.64121E,,,19,500 GP,Radar,,,Close support,18500,,,Instantaneous,Non-delay,9500,EXETER
"
1430",515,266-51,98th Bomb Wing,8/19/51,B-29,2,1,,,,Unknown target,,CT 8391,52SCH8391,38.75996N, 127.65340E,,,19,500 GP,Radar,,,Close support,19000,,,0.1,0.1,9500,EXETER
"
1431",515,266-51,98th Bomb Wing,8/19/51,B-29,2,1,,,,Unknown target,,CT 8391,52SCH8391,38.75996N, 127.65340E,,,20,500 GP,Radar,,,Close support,19000,,,Instantaneous,Non-delay,10000,EXETER
"
1432",515,266-51,98th Bomb Wing,8/19/51,B-29,3,1,,,,Troop concentration,,DT 1437 to DT 1439,,,,,,25,500 GP,Radar,,,Close support,17500 - 18500,,,VT,1.01,12500,EXETER
"
1433",515,266-51,98th Bomb Wing,8/19/51,B-29,3,1,,,,Troop concentration,,DT 1437,52SDH1437,38.27694N, 128.01677E,,,27,500 GP,Radar,,,Close support,17500 - 18500,,,VT,1.01,13500,EXETER
"
1434",515,266-51,98th Bomb Wing,8/19/51,B-29,10,1,,,Pyongyang,Marshalling yard,,YD 3921,51SYD3921,39.00540N, 125.76006E,,,37,500 GP,Shoran radar,,191052K,Interdiction,19500 - 22000,,Fair results. Initial impact of the formation's bombs covered the center to the north end of the marshalling yard with the remainder walking northeast from target to a point approximately 5000 ft from target.,VD 1 - 144 hours,,18500,EXETER
"
1435",515,266-51,98th Bomb Wing,8/19/51,B-29,10,,,,Pyongyang,Marshalling yard,,YD 3921,51SYD3921,39.00540N, 125.76006E,,,337,500 GP,Shoran radar,,191052K,Interdiction,19500 - 22000,,Fair results. Initial impact of the formation's bombs covered the center to the north end of the marshalling yard with the remainder walking northeast from target to a point approximately 5000 ft from target.,0.01,0.01,168500,EXETER
"
1436",515,266-51,91st Strategic Recon Sq,8/19/51,,1,,,,"""Accomplished visual, photo, and radar reconnaissance of route Yoke west of the special mission. Aircraft employed K-17 and O-15 type cameras.""",,,,,,,,,,,,,,Recon,4000 - 5000,,Good results.,,,,EXETER
"
1437",517,268-51,98th Bomb Wing,8/21/51,B-29,1,,,,Kowon,Marshalling yard,,CU 4966,52SCJ4966,39.43032N, 127.24556E,,,1,500 GP,Shoran radar,,,Interdiction,21000,,,0.01,0.01,500,EXETER
"
1438",517,268-51,98th Bomb Wing,8/21/51,B-29,1,1,,,Kowon,Marshalling yard,,CU 4966,52SCJ4966,39.43032N, 127.24556E,,,1,500 GP,Shoran radar,,,Interdiction,21000,,,0.01,0.01,500,EXETER
"
1439",517,268-51,98th Bomb Wing,8/21/51,B-29,1,1,,,Kowon,Marshalling yard,,CU 4966,52SCJ4966,39.43032N, 127.24556E,,,1,500 GP,Shoran radar,,,Interdiction,21000,,,0.01,0.01,500,EXETER
"
1440",517,268-51,98th Bomb Wing,8/21/51,B-29,1,1,,,Kowon,Marshalling yard,,CU 4966,52SCJ4966,39.43032N, 127.24556E,,,1,500 GP,Shoran radar,,,Interdiction,21000,,,0.01,0.01,500,EXETER
"
1441",517,268-51,98th Bomb Wing,8/21/51,B-29,1,1,,,Kowon,Marshalling yard,,CU 4966,52SCJ4966,39.43032N, 127.24556E,,,1,500 GP,Shoran radar,,,Interdiction,21000,,,0.01,0.01,500,EXETER
"
1442",517,268-51,98th Bomb Wing,8/21/51,B-29,1,1,,,Kowon,Marshalling yard,,CU 4966,52SCJ4966,39.43032N, 127.24556E,,,1,500 GP,Shoran radar,,,Interdiction,21000,,,0.01,0.01,500,EXETER
"
1443",517,268-51,98th Bomb Wing,8/21/51,B-29,1,1,,,Kowon,Marshalling yard,,CU 4966,52SCJ4966,39.43032N, 127.24556E,,,1,500 GP,Shoran radar,,,Interdiction,21000,,,0.01,0.01,500,EXETER
"
1444",517,268-51,98th Bomb Wing,8/21/51,B-29,1,1,,,Kowon,Marshalling yard,,CU 4966,52SCJ4966,39.43032N, 127.24556E,,,1,500 GP,Shoran radar,,,Interdiction,21000,,,0.01,0.01,500,EXETER
"
1445",517,268-51,98th Bomb Wing,8/21/51,B-29,1,1,,,Kowon,Marshalling yard,,CU 4966,52SCJ4966,39.43032N, 127.24556E,,,1,500 GP,Shoran radar,,,Interdiction,21000,,,0.01,0.01,500,EXETER
"
1446",517,268-51,98th Bomb Wing,8/21/51,B-29,1,1,,,Kowon,Marshalling yard,,CU 4966,52SCJ4966,39.43032N, 127.24556E,,,1,500 GP,Shoran radar,,,Interdiction,21000,,,VD 1 - 144 hours,,500,EXETER
"
1447",517,268-51,98th Bomb Wing,8/21/51,B-29,1,1,,,Wonsan,Supply center,,CU 6233,52SCJ6233,39.13526N, 127.40331E,,,1,500 GP,Radar,,,Interdiction,21000,,,VD 1 - 144 hours,,500,EXETER
"
1448",517,268-51,19th Bomb Group,8/21/51,B-29,1,1,,,Hungsu-ri,Marshalling yard,,BT 4060,52SBH4060,38.45044N, 126.02062E,,,3,500 GP,Shoran radar,,,Interdiction,17500,,,VD 1 - 144 hours,,1500,EXETER
"
1449",517,268-51,19th Bomb Group,8/21/51,B-29,1,1,,,Hungsu-ri,Marshalling yard,,BT 4060,52SBH4060,38.45044N, 126.02062E,,,3,500 GP,Shoran radar,,,Interdiction,20000,,,VD 1 - 144 hours,,1500,EXETER
"
1450",517,268-51,98th Bomb Wing,8/21/51,B-29,1,1,,,Kowon,Marshalling yard,,CU 4966,52SCJ4966,39.43032N, 127.24556E,,,3,500 GP,Shoran radar,,,Interdiction,21000,,,0.01,0.01,1500,EXETER
"
1451",517,268-51,98th Bomb Wing,8/21/51,B-29,1,1,,,Wonsan,Supply center,,CU 6233,52SCJ6233,39.13526N, 127.40331E,,,6,500 GP,Radar,,,Interdiction,21000,,,0.01,0.01,3000,EXETER
